#mpa_v30_CHOCOPhlAn_201901
#/shares/CIBIO-Storage/CM/scratch/users/francesco.beghini/git/metaphlan/metaphlan.py --nproc 4 --input_type multifastq --bowtie2db /shares/CIBIO-Storage/CM/scratch/users/francesco.beghini/hg/chocophlan/export_201901/metaphlan2/mpa_v30_CHOCOPhlAn_201901 --index mpa_v30_CHOCOPhlAn_201901 --force --bowtie2_exe /shares/CIBIO-Storage/CM/scratch/users/francesco.beghini/bowtie2-2.3.4.3-linux-x86_64/bowtie2 --bowtie2out /shares/CIBIO-Storage/CM/scratch/data/meta/AsnicarF_2017/metaphlan-3.0_v30_CHOCOPhlAn_201901/MV_MIM3_t1M14/MV_MIM3_t1M14.bowtie2.bz2 --samout /shares/CIBIO-Storage/CM/scratch/data/meta/AsnicarF_2017/metaphlan-3.0_v30_CHOCOPhlAn_201901/MV_MIM3_t1M14/MV_MIM3_t1M14.sam.bz2 -o /shares/CIBIO-Storage/CM/scratch/data/meta/AsnicarF_2017/metaphlan-3.0_v30_CHOCOPhlAn_201901/MV_MIM3_t1M14/MV_MIM3_t1M14_profile.tsv
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	84.06476	
k__Bacteria|p__Actinobacteria	2|201174	15.93524	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	84.06476	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	15.93524	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	84.06476	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	15.93524	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	84.06476	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	2|201174|1760|85007|1653	15.93524	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	2|1239|91061|1385|90964|1279	84.06476	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	2|201174|1760|85007|1653|1716	15.93524	
