NCBI_ID	MV_FEI1_t1Q14	MV_FEI2_t1Q14	MV_FEI3_t1Q14	MV_FEI4_t1Q14	MV_FEI4_t2Q15	MV_FEI5_t1Q14	MV_FEI5_t2Q14	MV_FEI5_t3Q15	MV_FEM1_t1Q14	MV_FEM2_t1Q14	MV_FEM3_t1Q14	MV_FEM4_t1Q14	MV_FEM4_t2Q15	MV_FEM5_t1Q14	MV_FEM5_t2Q14	MV_FEM5_t3Q15	MV_MIM1_t1M14	MV_MIM2_t1M14	MV_MIM3_t1M14	MV_MIM4_t1M14	MV_MIM4_t2F15	MV_MIM5_t1M14	MV_MIM5_t2M14	MV_MIM5_t3F15
561	59.3501	0	85.423330000000007	46.70438	0.5477	0	0.02243	0	0	1.11421	0.2991	0.22564	0.16714	0.02327	3.4839	0.01737	0	0	0	0	0	0	0	0
1678	25.06041	66.15984	0.89989	9.92597	61.19652	79.77158	0.06512	70.9877	0.64646	1.11216	0	1.38361	40.81058	10.08369	0.85714	2.42917	0	0	0	100	0	37.93493	0	2.07307
1350	6.79801	0.04311	7.44248	0	0.85044	2.04668	0	0	0	0	0	0	0	0.1345	0	0	0	0	0	0	0	0	0	0
29465	2.71738	27.65312	1.3213	3.56488	7.90333	6.51957	0	0.02909	0	0.00317	0.0014	0.59644	0.00284	0	30.81829	0	0	0	0	0	0	0	21.28204	0.35748
572511	2.56548	0	0.2293	0	0	0	0.02056	4.05304	0.09431	0.06312	0.33711	0.29425	2.60292	14.04804	1.5157	1.3045	0	0	0	0	0	0	0	0
570	1.25451	5.81733	0	0	0.97318	0.11941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1485	0.61963	0	0	0.1767	0.20592	0.03384	0.05204	0	0	3.60294	0	0	0	0.10531	0	0.05716	0	0	0	0	0	0	0	0
1301	0.42818	0.11743	0.19971	0.17443	0.06887	0.36403	0.15262	0.82524	0.02205	0.01776	0.37762	0.14971	1.68582	1.10011	0.55072	0.19256	0	0	0	0	85.43592	62.06507	78.71796	57.54195
906	0.38951	0.0085	0	0	2.56869	0	0	0	0	0	0	0.00755	0.02983	0	33.81795	0	0	0	0	0	0	0	0	0
1870884	0.25352	0	0.70916	0	0	0.00299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40323	0.24849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1654	0.16507	0	0	0	0.01596	3.62727	0	0.0212	0	0	0	0	0.06401	0.00111	0.01794	0	0	0	0	0	14.56408	0	0	3.26062
547	0.05317	0	0	0	0	0.26723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160674	0.02582	0	0	0	0	5.27739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32207	0.01345	0.00525	0.00289	0.02509	0	0.01287	0	0	0	0	0	0	0	0	7.1e-4	0	0	0	0	0	0	0	0	11.51699
