Attribute	Url
acetate producing	https://docs.google.com/spreadsheets/d/1PGW4C8fkyZYUJKA8yAW7ZjWEB6QXYdoTb6wrNxatK2c/edit#gid=0
aerophilicity	https://docs.google.com/spreadsheets/d/1JgUzttAZf5Qu2obZ_2xXqsnEr_I1XKn_ZzNvrE6ssO4/edit?usp=sharing
animal pathogen	https://docs.google.com/spreadsheets/d/1Z9bWx4dAbCHXgtZI2Ep-0Www0DafSqsPvSr5M69CPlE/edit?usp=sharing
antimicrobial resistance	https://docs.google.com/spreadsheets/d/1oOBg_sA00EY6fAwSXBatfplxRwi49n4mQgsepKy0BnA/edit?usp=sharing
antimicrobial sensitivity	https://docs.google.com/spreadsheets/d/1eTceiQnE8YRoYGDWRL6uQqG6Wx9PPsBXk2X6Pvq7p6M/edit?usp=sharing
arrangement	https://docs.google.com/spreadsheets/d/1qkNPdVDjpkdvZ-UtWeIrmWA3aYCInIQrseDDYqXiH-w/edit?usp=sharing
biofilm forming	https://docs.google.com/spreadsheets/d/1H8Pon9zmivcN7mtrlLuTLF4IL_lN5wi_k93XRlhWlRg/edit?usp=sharing
butyrate producing	https://docs.google.com/spreadsheets/d/1uPOIyeFD5ClPR2W2XyT6jAdD8FkgGuNBSl_8F2CT_uI/edit?usp=sharing
COGEM pathogenicity rating	https://docs.google.com/spreadsheets/d/19DrBFbAMGNvqf17yJ4HzuKQjJoRlMCVYTCtmyugoDjQ/edit?usp=sharing
disease association	https://docs.google.com/spreadsheets/d/1GqY9-TMpcIPDuWUQwXja1GB1suc4-kUOj8QytvqAMq0/edit?usp=sharing
extreme environment	https://docs.google.com/spreadsheets/d/1ECo3h91E090gCLejDSTBYwTmUqAPE44JDJlbLzVkpbE/edit?usp=sharing
gram stain	https://docs.google.com/spreadsheets/d/1ygWBlBczB24fyL0DTPmTModCuEDi-1j1_rsYBZ5JEOc/edit?usp=sharing
growth medium	https://docs.google.com/spreadsheets/d/1r7GIZWjBbmC-rRZYbHUwM31LGJ6YGexdZozYOvFZXVs/edit?usp=sharing
growth temperature	https://docs.google.com/spreadsheets/d/1yJjKSd59tjpq1Oaifd7S3jFBWFe2ZU-kmxV4HtYJznc/edit?usp=sharing
habitat	https://docs.google.com/spreadsheets/d/16WVR910o0p_CyiqYxSa1hkDTdtsAM4Oy8TlbZNIr7ys/edit?usp=sharing
health associated	https://docs.google.com/spreadsheets/d/1oKvcKub-2NnbwYsIyXPETt7nUl89RwTk5Vwzk1WX0j0/edit?usp=sharing
hydrogen gas producing	https://docs.google.com/spreadsheets/d/14CNe6W0OmR5iY9lQU2IPFtYZsLd8a77ehR3lVJkx1A8/edit?usp=sharing
isolation site	https://docs.google.com/spreadsheets/d/1QmwZcfoXhBdWPxTt6qa7hhMckHGV7c0lU2pTPpcSVfI/edit?usp=sharing
lactate producing	https://docs.google.com/spreadsheets/d/1Am4XPHK9zyEuPV1h1je2TmsSHLitJJOLPcuhN6-v_hk/edit?usp=sharing
length	https://docs.google.com/spreadsheets/d/1gtD-kPb3XEQF0HAFcMMx3Deunj5GxVchPHXWHF-ZK9w/edit?usp=sharing
mutation rate per site per generation	https://docs.google.com/spreadsheets/d/1YIlMJCwqtzU1v2hTrPOPbjhxjmj_t-ol6WvMLkkz1bs/edit?usp=sharing
mutation rates per site per year	https://docs.google.com/spreadsheets/d/1K9KUScp1VeEkeXjJmKft_Rdr4xqlyD9Cx7eQpijzWMQ/edit?usp=sharing
optimal ph	https://docs.google.com/spreadsheets/d/1gDnJXdauXn16X-AJB9tK_hVrZVL1PmHTPP7gS8w7KOM/edit?usp=sharing
plant pathogenicity	https://docs.google.com/spreadsheets/d/1Kgt6cS9Fo94bC38iFdRUF9EJS9KeA5ysPfDKakI4jwM/edit?usp=sharing
shape	https://docs.google.com/spreadsheets/d/1OpjfL-EIosX9iUg8nRxv03qpAx8iKo0FpcK_ZQokr-k/edit?usp=sharing
spore shape	https://docs.google.com/spreadsheets/d/1XPtnoqeSfJFwDC3QHsXuNrTSJpgIZgUpv4ZmSFtT38g/edit?usp=sharing
width	https://docs.google.com/spreadsheets/d/1Wc14Gp4nygdR6XNnZEJ5mZMJtCP6pniqa9GQOwzriNo/edit?usp=sharing
fatty acid composition	https://docs.google.com/spreadsheets/d/1u_zgX9dDuk2hIUMlfHqC2pDAmc3ktGf6Vj2EbzRiV8M/edit?usp=sharing
