NCBI_ID	Rank	Parent_NCBI_ID	Parent_name	Parent_rank
999891	strain	1390	Bacillus amyloliquefaciens	species
999630	strain	184117	Thermoproteus uzoniensis	species
999628	strain	378211	Methyloversatilis universalis	species
999627	species	1541818	Sedimentitalea	genus
999611	strain	476529	Leisingera aquimarina	species
999552	strain	133924	Leisingera methylohalidivorans	species
999550	strain	385492	Pseudophaeobacter arcticus	species
999549	strain	506591	Leisingera caerulea	species
999548	strain	221822	Phaeobacter inhibens	species
999547	strain	405746	Leisingera daeponensis	species
999543	strain	351187	Salinispora pacifica	species
999542	strain	351187	Salinispora pacifica	species
999541	strain	28095	Burkholderia gladioli	species
999488	genus	118882	Brucellaceae	family
999430	strain	158	Treponema denticola	species
999429	strain	158	Treponema denticola	species
999428	strain	158	Treponema denticola	species
999425	species	1301	Streptococcus	genus
999424	species	1301	Streptococcus	genus
999423	species	970	Selenomonas	genus
999415	strain	31973	Eggerthia catenaformis	species
999413	strain	1522	[Clostridium] innocuum	species
999412	strain	154046	Hungatella hathewayi	species
999386	strain	758826	Acidovorax radicis	species
999378	strain	1582	Lacticaseibacillus casei	species
99919	species	28263	Arcanobacterium	genus
999183	species	28263	Arcanobacterium	genus
999151	species	40222	Methylophaga	genus
999141	species	2745	Halomonas	genus
99907	species	99906	Alkalibacterium	genus
99906	genus	186828	Carnobacteriaceae	family
999	species	1937972	Bernardetia	genus
998845	species	237	Flavobacterium	genus
998820	strain	1582	Lacticaseibacillus casei	species
998674	strain	45248	Leucothrix mucor	species
998092	strain	1773	Mycobacterium tuberculosis	species
998088	strain	654	Aeromonas veronii	species
998084	species	1883	Streptomyces	genus
99807	species	1716	Corynebacterium	genus
998	species	992	Flexibacter	genus
997894	strain	208479	Enterocloster bolteae	species
997888	strain	338188	Bacteroides finegoldii	species
997877	strain	357276	Phocaeicola dorei	species
997761	strain	61624	Paenibacillus mucilaginosus	species
997355	strain	33010	Cutibacterium avidum	species
997353	strain	60133	Prevotella pallens	species
997352	strain	28133	Prevotella nigrescens	species
997350	strain	33030	Peptoniphilus indolicus	species
997349	strain	138595	Olsenella profusa	species
997348	strain	496	Neisseria macacae	species
997347	strain	76859	Fusobacterium animalis	species
997346	species	500614	Desmospora	genus
997296	strain	1471	Bacillus methanolicus	species
997	species	1937963	Eisenibacter	genus
996801	species	52959	Polaribacter	genus
996634	strain	65058	Corynebacterium ulcerans	species
99656	species	1506553	Lachnoclostridium	genus
99655	species	1073	Rhodopseudomonas	genus
99653	species	1827	Rhodococcus	genus
996285	strain	316	Stutzerimonas stutzeri	species
996	species	237	Flavobacterium	genus
99598	species	1186	Calothrix	genus
99597	species	13687	Sphingomonas	genus
