Attribute_group	Attribute	lower	upper	unit
coding genes	very small	NA	473	NA
coding genes	small	473	600	NA
coding genes	average	600	6000	NA
coding genes	very large	6000	NA	NA
genome size	small	NA	490885	bp
genome size	average	490885	998123	bp
genome size	large	998123	6997434	bp
genome size	very large	6997434	NA	bp
growth temperature	psychrophile	NA	25	C
growth temperature	mesophile	25	45	C
growth temperature	thermophile	45	60	C
growth temperature	hyperthermophile	60	NA	C
length	small	NA	3.8	μm
length	average	3.8	22	μm
length	large	22	60	μm
length	very large	60	NA	μm
mutation rate per site per generation	slow	NA	2.92	NA
mutation rate per site per generation	medium	2.92	16	NA
mutation rate per site per generation	fast	16	NA	NA
mutation rate per site per year	slow	NA	7.5	NA
mutation rate per site per year	medium	7.5	20	NA
mutation rate per site per year	medium fast	20	54.2	NA
mutation rate per site per year	fast	54.2	NA	NA
optimal ph	acidic	NA	6	NA
optimal ph	neutral	6	8	NA
optimal ph	alkaline	8	9.76	NA
optimal ph	very alkaline	9.76	NA	NA
width	small	NA	0.9	μm
width	average	0.9	3.5	μm
width	large	3.5	12	μm
width	very large	12	NA	μm
